,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,2010,Cardano,ADA,cardano,1240,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35960643044.11,37170426657.961,False,,11,,,,2024-09-06T17:54:00.000Z,0.31509656242163697,309410020.3291798,6.9321,0.12329423,-3.49373873,-7.99063976,-2.36209565,-13.42826562,-27.62200356,11331075005.670612,0.5962,14179345308.97,,2024-09-06T17:54:00.000Z,,,,,,2024-09-06 14:55:59.377252
11,5805,Avalanche,AVAX,avalanche,771,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,405216145.8142945,445219245.8142945,False,,12,,,,2024-09-06T17:54:00.000Z,21.116340127678104,264638390.2474336,69.1726,0.78674846,-2.59737092,-6.85902672,3.99421912,-18.41348921,-34.8895495,8556681960.241449,0.4497,15113993396.35,,2024-09-06T17:54:00.000Z,,,,,,2024-09-06 14:55:59.377252
12,5994,Shiba Inu,SHIB,shiba-inu,864,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589269576982993.9,589518461624500.2,False,,13,,,,2024-09-06T17:54:00.000Z,1.2743065176207059e-05,179285440.2816212,15.7925,-0.35318378,-3.43915056,-7.52164241,-3.46737776,-20.79444188,-45.23316771,7509100625.850254,0.395,7512272179.06,,2024-09-06T17:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-09-06 14:55:59.377252
13,6636,Polkadot,DOT,polkadot-new,806,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'layer-1']",,1490368780.8632479,1490368780.8632479,True,,14,1490367434.9480152,5909834845.11375,,2024-09-06T17:54:00.000Z,3.965354251933107,106135952.85829416,17.6868,0.22800217,-1.42872811,-5.66118244,-13.24306208,-33.68337078,-38.56692552,5909840182.144441,0.311,5909840182.14,,2024-09-06T17:54:00.000Z,,,,,,2024-09-06 14:55:59.377252
14,1831,Bitcoin Cash,BCH,bitcoin-cash,917,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19757150.0,19757150.0,False,,15,,,,2024-09-06T17:54:00.000Z,298.72832722523356,175902236.97423765,26.4379,-0.42054583,-2.63633841,-6.8726366,-5.05500093,-8.98120898,-36.53065657,5902020370.238023,0.3105,6273294871.73,,2024-09-06T17:54:00.000Z,,,,,,2024-09-06 14:55:59.377252
0,1,Bitcoin,BTC,bitcoin,11672,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19750537.0,19750537.0,False,,1,,,,2024-09-06T18:15:00.000Z,53823.38752571263,42358028550.852356,41.5904,-0.76172098,-4.77571414,-8.40753254,-2.64712909,-4.44497943,-22.51843551,1063040806791.9257,55.9174,1130291138039.97,,2024-09-06T18:15:00.000Z,,,,,,2024-09-06 15:16:40.196335
1,1027,Ethereum,ETH,ethereum,9264,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120317181.32365972,120317181.32365972,True,,2,,,,2024-09-06T18:14:00.000Z,2243.539284833797,20441323353.754555,57.1396,-0.97674735,-6.13729733,-9.37056334,-5.08218562,-24.73068533,-39.24353768,269936322940.1018,14.1989,269936322940.1,,2024-09-06T18:14:00.000Z,,,,,,2024-09-06 15:16:40.196335
2,825,Tether USDt,USDT,tether,96550,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,118136286822.5227,120240893180.00955,True,,3,,,,2024-09-06T18:14:00.000Z,0.9993815763576446,64075581680.38257,39.6284,0.014216,-0.03679862,-0.04151028,-0.06706828,-0.04605865,-0.05066042,118063228549.73158,6.2102,120166533368.89,,2024-09-06T18:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-09-06 15:16:40.196335
3,1839,BNB,BNB,bnb,2222,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145934590.1889804,145934590.1889804,False,,4,,,,2024-09-06T18:14:00.000Z,487.06064221508535,1675181505.674667,13.7118,-0.42413932,-2.99379692,-8.12484929,2.57213662,-3.56861407,-29.0669009,71078995218.84009,3.7388,71078995218.84,,2024-09-06T18:14:00.000Z,,,,,,2024-09-06 15:16:40.196335
4,5426,Solana,SOL,solana,725,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466966285.97209054,583983834.1681715,True,,5,,,,2024-09-06T18:14:00.000Z,126.2754199628102,2667554445.8481493,46.77,-0.46162309,-3.07461779,-6.36337395,-13.1392111,-7.6739613,-21.50136921,58966363869.599464,3.1017,73742803911.08,,2024-09-06T18:14:00.000Z,,,,,,2024-09-06 15:16:40.196335
